N;START (per location)
B;Place Hidden units in a CC location under “?”
B;Check for Ambush
D;Attempt Tank-Hunter Hero creation
B;Check for Sequential CC
B;Attempt Prisoner escape
B;Attempt Abandoned vehicle capture
B,Units declare Withdrawal from Melee (ATTACKER first)
B;Units declare SMC solo status
X;X

N;DURING (per location)
B;Units declare CC attacks (ATTACKER first)
B;Attempt ATMM attack (German, Japanese Tank-HunterHero)
B;Resolve CC attacksRemove berserk if all Known Enemy units present eliminated in CC
END (per location):
B;Capture unescorted abandoned vehicles
B;Flip CC to Melee or remove
X;X

N;END (of Phase)
B;Resolve non-Flame clearance attempts
B;Remove TI and Pin
B;Destroy tunnel entrance
B;Flip Stun to +1
A;Gain Concealment
X;X
