N;ORIGINAL 2 DR:;1;1
O;CC Attacker may withdraw
O;Possible Leader Creation in CC
O;Possible Unlikely Kill
O;Field Phone Loss
X;X

N;ORIGINAL 11 DR:;5;6
O;Level A/B Booby Traps TC Casualty Reduction
O;Flail removed when clearing mines
Inexperienced Minefield Clearance Casualty Reduction
X;X

N;ORIGINAL 12 DR:;6;6
O;ATMM CC Dud
O;CC Defender may withdraw
O;CC Attacker vs manned vehicle Casualty Reduction
O;Flail Tank eliminated by A-T Mines
O;Flail Tank Immobilized by A-P Mines
O;Level A/C Booby Traps TC Casualty Reduction
O;Minefield Clearance Casualty Reduction
X;X
