N;ORIGINAL 2 DR:;1;1
O;Possible Critical Hit
O;Possible Improbable Hit
O;Possible Unlikely Kill
O;MC Heat of Battle
O;Field Phone Loss
X;X

N;ORIGINAL DOUBLES DR:;5;5
O;IFT Attack Cowers
O;Gun ≤ 40mm Multiple Hit
O;Sherman 75mm, M24 Chaffee Multiple Hit
X;X

N;ORIGINAL 11 DR:;5;6
O;Level A/B Booby Traps TC Casualty Reduction
O;RCL TH DR Possible Flame
O;PF TH DR Inexperienced Firer Casualty Reduction
X;X

N;ORIGINAL 12 DR:;6;6
O;DC/SCW/To Kill DR is Dud
O;Level A/C Booby Traps TC Casualty Reduction
O;Ammunition Shortage MMC Replaced
O;MC Casualty Reduction/broken (broken MC eliminated)
O;PF TH DR Casualty Reduction
X;X
